Month,#Price
2007-01,12938.08984
2007-02,13072.09961
2007-03,13872.37012
2007-04,14544.45996
2007-05,14650.50977
2007-06,15550.99023
2007-07,15318.59961
2007-08,17291.09961
2007-09,19837.99023
2007-10,19363.18945
2007-11,20286.99023
2007-12,17648.71094
2008-01,17578.7207
2008-02,15644.44043
2008-03,17287.31055
2008-04,16415.57031
2008-05,13461.59961
2008-06,14355.75
2008-07,14564.53027
2008-08,12860.42969
2008-09,9788.05957
2008-10,9092.719727
2008-11,9647.30957
2008-12,9424.240234
2009-01,8891.610352
2009-02,9708.5
2009-03,11403.25
2009-04,14625.25
2009-05,14493.83984
2009-06,15670.30957
2009-07,15666.63965
2009-08,17126.83984
2009-09,15896.28027
2009-10,16926.2207
2009-11,17464.81055
2009-12,16357.95996
2010-01,16429.55078
2010-02,17527.76953
2010-03,17558.71094
2010-04,16944.63086
2010-05,17700.90039
2010-06,17868.28906
2010-07,17971.11914
2010-08,20069.11914
2010-09,20032.33984
2010-10,19521.25
2010-11,20509.08984
2010-12,18327.75977
2011-01,17823.40039
2011-02,19445.2207
2011-03,19135.96094
2011-04,18503.2793
2011-05,18845.86914
2011-06,18197.19922
2011-07,16676.75
2011-08,16453.75977
2011-09,17705.00977
2011-10,16123.45996
2011-11,15454.91992
2011-12,17193.55078
2012-01,17752.67969
2012-02,17404.19922
2012-03,17318.81055
2012-04,16218.53027
2012-05,17429.98047
2012-06,17236.17969
2012-07,17380.75
2012-08,18762.74023
2012-09,18505.38086
2012-10,19339.90039
2012-11,19426.71094
2012-12,19894.98047
2013-01,18861.53906
2013-02,18835.76953
2013-03,19504.17969
2013-04,19760.30078
2013-05,19395.81055
2013-06,19345.69922
2013-07,18619.7207
2013-08,19379.76953
2013-09,21164.51953
2013-10,20791.92969
2013-11,21170.67969
2013-12,20513.84961
2014-01,21120.11914
2014-02,22386.26953
2014-03,22417.80078
2014-04,24217.33984
2014-05,25413.7793
2014-06,25894.9707
2014-07,26638.10938
2014-08,26630.50977
2014-09,27865.83008
2014-10,28693.99023
2014-11,27499.41992
2014-12,29182.94922
2015-01,29220.11914
2015-02,27957.49023
2015-03,27011.31055
2015-04,27828.43945
2015-05,27780.83008
2015-06,28114.56055
2015-07,26283.08984
2015-08,26154.83008
2015-09,26656.83008
2015-10,26145.66992
2015-11,26117.53906
2015-12,24870.68945
2016-01,23002
2016-02,25341.85938
2016-03,25606.61914
2016-04,26667.96094
2016-05,26999.7207
2016-06,28051.85938
2016-07,28452.16992
2016-08,27865.96094
2016-09,27941.50977
2016-10,26652.81055
2016-11,26626.46094
2016-12,27655.96094
2017-01,28743.32031
2017-02,29620.5
2017-03,29918.40039
2017-04,31145.80078
2017-05,30921.60938
2017-06,32514.93945
2017-07,31730.49023
2017-08,31283.7207
2017-09,33213.12891
2017-10,33149.35156
2017-11,34056.82813
2017-12,35965.01953
2018-01,34184.03906
2018-02,32968.67969
2018-03,35160.35938
2018-04,35322.37891
